interest,categories
Art History,"Studies, Art, History"
Behavioral Health Counseling,"Studies, Health"
Biological Sciences,"Studies, Science"
Biomedical Engineering,"Studies, Science"
Business Analytics,Studies
Business and Engineering,Studies
Chemical Engineering,"Studies, Science"
Chemistry,"Studies, Science"
Civil Engineering,"Studies, Science"
Communication,Studies
Computer Engineering,"Studies, Science"
Computer Science,"Studies, Science"
Computing and Security Technology,"Studies, Science"
Construction Management,Studies
Criminology and Justice Studies,"Studies, Science"
Culinary Arts and Science,"Studies, Science"
Data Science,"Studies, Science"
Design & Merchandising,Studies
Economics,Studies
Education: Non-Certification,Studies
Electrical Engineering,"Studies, Science"
Elementary Education,Studies
Engineering Technology,"Studies, Science"
English,Studies
Entertainment & Arts Management,Studies
Entrepreneurship and Innovation,Studies
Environmental Engineering,"Studies, Science"
Environmental Science,"Studies, Science"
Environmental Studies and Sustainability,Studies
Fashion Design,Studies
Film & Television,"Studies, Media, Indoors"
Finance,Studies
Game Design & Production,"Studies, Media, Games"
General Business,Studies
General Studies,Studies
Geoscience,"Studies, Science"
Global Studies,Studies
Graphic Design,Studies
Health Sciences,"Studies, Science, Health"
Health Services Administration,"Studies, Health"
History,"Studies, History"
Hospitality Management,Studies
Information Systems,"Studies, Science"
Interactive Digital Media,"Studies, Media, Games"
Interior Design,Studies
International Business,Studies
Legal Studies,Studies
Management Information Systems,Studies
Marketing,Studies
Materials Science and Engineering,"Studies, Science"
Mathematics,Studies
Mechanical Engineering,"Studies, Science"
Music Industry,Studies
Nursing,"Studies, Health"
Nutrition and Foods,"Studies, Health, Food"
Operations and Supply Chain Management,Studies
Organizational Management,Studies
Philosophy,Studies
"Philosophy, Politics & Economics",Studies
Physics,"Studies, Science"
Political Science,"Studies, Science"
Product Design,"Studies, Craft"
Psychology,"Studies, Science"
Public Health,"Studies, Health"
Real Estate Management and Development,Studies
Screenwriting and Playwriting,Studies
Secondary Education,Studies
Sociology,"Studies, Science"
Software Engineering,"Studies, Science"
Sport Business,"Studies, Sports"
Technology Innovation Management,"Studies, Science"
Virtual Reality & Immersive Media,"Studies, Media, Games"
